便塊除去	摘便
両内頚動脈石灰化	動脈石灰化
子宮筋腫の悪化	子宮筋腫
骨盤-その他-(診断名を記載のこと) 出血性黄体嚢胞	黄体嚢胞出血
お腹を下した	下痢
左肩腱板断裂	肩回旋筋腱板損傷
Ｓ状結腸腺腫	大腸腺腫
皮下膿瘍	皮下組織膿瘍
左中大脳動脈梗塞	中大脳動脈梗塞
寝違えた	頚部硬直
心のう水貯留	心嚢液貯留
大腿骨側頚部骨折	大腿骨頚部骨折
腰部変形脊椎症	変形性腰椎症
低血糖症状の疑い	低血糖反応
夜間の咳嗽	夜間咳嗽
心臓性浮腫	心性浮腫
皮膚からの出血	皮膚出血
子宮筋腫核出術（２７才時）	筋腫核出術
糖尿病網膜症（光凝固後）	糖尿病網膜症
慢性低血圧症	慢性低血圧
γ-ＧＴＰ上昇	γ－グルタミルトランスフェラーゼ増加
ペースメーカー電池消耗	医療機器バッテリー問題
慢性閉塞性動脈症	動脈閉塞性疾患
左上腕内出血【皮膚（注射部位以外）】	皮下出血
アンモニア値上昇	アンモニア増加
左足首のねんざ	足関節捻挫
鼻腔内の違和感	鼻腔内違和感
糖尿病性腎障	糖尿病性腎症
右耳膿痂疹	膿痂疹
右足背腫脹	足部腫脹
左足関節部浮腫	足首腫脹
空腸憩室出血	出血性腸憩室
胆嚢癌手術	胆嚢癌
父：Ｃ型肝炎、母：腎臓癌・肺癌	家族性危険因子
前立腺癌（カソデックス内服中）	前立腺癌
両性腎硬化症の疑い	腎硬化症
右膝人工関節全置換	人工膝関節全置換
腸管憩室出血	出血性腸憩室
ＮＡＳＨ	非アルコール性脂肪性肝炎
大動脈弁閉塞不全	大動脈弁閉鎖不全症
下肢硬直発作	手足のこわばり
右下顎骨骨折	下顎骨折
尿沈査赤血球陽性	尿中赤血球陽性
巨大肝嚢腫	肝嚢胞
Ｔ－ｂｉｌｌ上昇	総ビリルビン増加
吐き気がある	吐き気
インフルエンザＢ型	Ｂ型インフルエンザウイルス感染
左肩部打撲	肩の挫傷
ガドリニウムアレルギー	造影剤アレルギー
ＣＡＰＤ出口湿疹	湿疹
意識消失状態	意識消失
足のしびれ（下肢）	足のしびれ感
尿道小丘	尿道カルンクル
胃部重圧感	胃重圧感
骨粗そう症	骨粗鬆症
ＨＩＶ感染症	ＨＩＶ感染
蕁麻疹（顔面、前胸部）	蕁麻疹
乳頭左痛	乳頭痛
両側副腎摘出後	副腎摘除
両変形性ヒザ関節症	変形性膝関節症
房室完全ブロック	完全房室ブロック
躁鬱病	躁うつ病
抗炎症剤による消化管潰瘍	胃腸潰瘍
下腹部腹壁内膿瘍	腹壁膿瘍
手指掻痒	両手のそう痒
白内障、８/８白内障手術	白内障手術
気管支胸腔瘻	気管支胸膜瘻
右前腕部動脈閉塞症	末梢動脈閉塞
肋膜炎	胸膜炎
右腓腹筋痛	下肢筋肉痛
右脛部挫傷	脚の挫傷
手掌知覚不全	四肢知覚不全
頭皮腫瘍痛	腫瘍疼痛
子宮腫大	子宮肥大
弁膜症術後	心臓弁膜症
胃のもたれ感	胃もたれ感
老人性耳鳴	耳鳴
右前腕筋肉痛	局所筋肉痛
非小細胞肺癌の進行による死亡	非小細胞肺癌進行
鼻茸術後	鼻ポリープ切除
左足に痛み	足部痛
慢性胃炎胃潰瘍	潰瘍性胃炎
急性咽頭炎の再発	急性咽頭炎
慢性Ｃ型肝炎ウイルスキャリア	Ｃ型肝炎キャリアー
呼吸困難（息ぎれ）	呼吸困難
一過性黒内障の疑い（右眼）	一過性黒内障
左肋骨骨折	肋骨骨折
右下腹痛	右下腹部痛
右下智歯周囲炎	歯周炎
アスピリンとワルファリンの相互作用	薬物相互作用
右下肢壊死性筋膜炎	壊死性筋膜炎
数秒間の意識消失	一過性意識消失
ＧＰＴの上昇	ＧＰＴ増加
下大静脈内腫瘍塞栓	腫瘍性塞栓症
吻合部付近の疼痛	切開部位痛
QT間隔延長	ＱＴ間隔延長
皮下出血（創部）	皮下出血
髙血圧の悪化	高血圧増悪
多発性腎のう胞	多発性嚢胞腎
巨大左房内血栓	心房血栓症
二次性高血圧症	二次性高血圧
扁桃腺ｏｐｅ	扁桃摘出
大動脈閉鎖不全にて２００７年１０月１０日大動脈弁置換術施行。	大動脈弁閉鎖不全
そう痒感（外陰部）	外陰部そう痒
肝性脳症（不穏状態）	無し
乳癌疑い	乳癌
打撲症（胸部）	胸の挫傷
透析時の低血圧	透析時低血圧
ＩＴＰ（特発性血小板減少性紫斑病）	特発性血小板減少性紫斑病
洞不全症候群、体内ペースメーカー植え込み術後	洞不全症候群
４８才頃より高血圧	高血圧
腎機能障害あり	腎機能障害
γGTP上昇	γ－グルタミルトランスフェラーゼ増加
合併症の悪化(サイログロブリン上昇)	サイログロブリン増加
左眼球損傷	眼外傷
外耳道癌	耳の悪性新生物
タンパク↓	総蛋白減少
体内ペースメーカー植え込み術後	心臓ペースメーカー挿入
遅発性尺骨神経麻痺	尺骨神経麻痺
足白せん	足部白癬
感昌	感冒
腎不全によるリパーゼ上昇	無し
腰椎椎管狭窄症	腰部脊柱管狭窄症
胃前庭部からの出血	胃出血
肝腎症候群疑い	肝腎症候群
ホジキンリンパ腫平成１１年治療し、現在は治癒している	ホジキンリンパ腫
心筋炎後遺症	心筋炎
一過性新生児膿疱性黒皮症	一過性新生児膿疱性メラノーシス
クレアチニンクリアランス低下	クレアチニン・クリアランス減少
透析後の起立性低血圧	起立性低血圧
ビタミン欠乏性症候性神経痛	無し
肝キノウ値上昇	肝機能検査値上昇
仮面うつ病	うつ病
経尿道的膀胱腫瘍切除術（ＴＵＲ－Ｂｔ）	経尿道的膀胱腫瘍切除
軽度脂肪肝	脂肪肝
口中の苦み	苦味
機能性胃腸症	機能性胃腸障害
ＷＢＣ数減少	白血球数減少
甲状腺がん	甲状腺癌
カンジダ【詳細不明】	カンジダＮＯＳ
湿疹（陰部）	湿疹
後発白内障（右眼）	後発白内障
生理周期を整えるため	月経周期管理
内股紫斑	紫斑
湿疹疑い	湿疹
発作性心房頻拍	発作性心房頻脈
爪部圧迫疼痛	爪痛
血管性網膜症	網膜症
反復性胃潰瘍	再発性胃潰瘍
右中指異物【魚の鰭が入った】	表在性異物
両測腎のう胞	腎嚢胞
両下肢掻痒症	下肢そう痒
Ｈ２０．５月膵癌術後	膵癌
アルコール性慢性膵炎	アルコール性膵炎
おなかが熱くなってくる	限局性温感
根治的左腎摘除術	根治的腎摘除
胃粘膜の血管異常	血管障害
右臀部慢性膿皮症	膿皮症
吐いてしまった	嘔吐
チアノーゼ性先天性心疾患【ファロー四徴症】	ファロー四徴症
洞結節機能不全症候群	洞不全症候群
前肝硬変	肝硬変
こむら返り（両下肢）	こむら返り
性器出血（細胞診のため）	処置による出血
ＡＬＰ軽度高値持続のみ	血中アルカリホスファターゼ高値
首部痛	頚部痛
肝のう胞	肝嚢胞
尿ウロビリノーゲン値上昇	尿中ウロビリノーゲン増加
急性肺障害	肺障害
高脂血症の増悪	高脂血症
右口角ヘルペス	口唇ヘルペス
脳血栓後遺症	脳血栓症
手掌・足底皮膚のびらん	皮膚びらん
心房細動の出現	心房細動
左肩腫瘍【部位不明】	新生物ＮＯＳ
ふくらはぎの痛み	ふくらはぎ痛
頚椎症のＯＰＥ歴有	頚椎症
Ｈｔ減少	無し
凝固系検査値異常（プラスミノーゲン活性増加、プロテインＣ増加、ＴＡＴ増加）	無し
二次性血小板減少症	続発性血小板減少症
薬物性蕁麻疹	薬剤性蕁麻疹
背中の痛み	背部痛
ホスレノールがレントゲンに映る	薬剤残留
穿刺部のかゆみ	血管穿刺部位そう痒感
肝ＦＮＨ疑い（肝の限局性結節性過形成の疑い）	限局性結節性過形成
皮疹多形紅斑	多形紅斑様皮疹
右中大脳動脈瘤	中大脳動脈瘤
左眼発赤	眼の発赤
乳Ｃａ（３８才時）（乳癌）	乳癌
頚椎間板症	頚椎椎間板症
膜性増殖性腎炎	膜性糸球体腎炎
左非小細胞肺癌	非小細胞肺癌
高Ｂｉｌ血症	高ビリルビン血症
めまい症（内耳性）	迷路性回転性めまい
虫垂ガン	虫垂癌
脊椎（Ｌ4-Ｓ1）硬膜下血腫	脊髄硬膜下血腫
鼠径部ヘルニア	鼡径ヘルニア
水ぶくれのような湿疹	小水疱性湿疹
爪床チアノーゼ	爪のチアノーゼ
陳旧性前壁梗塞	陳旧性心筋梗塞
上気道炎の悪化	上気道の炎症
全身けいれん	全身痙攣
遠隔転移巣（左副腎）	副腎転移
左失明	左眼失明
帯状感ＮＯＳ	帯状感
２００４年胃癌（ＳＭ１）手術（根治）	胃癌
脳梗塞肥大症	無し
肝機能障害（ＡＳＴ上昇）	無し
ヤスミン使用中の妊娠	経口避妊薬服用中の妊娠
腹腔鏡下右半結腸切除術	右半結腸切除
胃部（心窩部）不快あり	心窩部不快感
右ヒザ付近の痛み	右膝痛
狭心症様症状	狭心症
下肢動脈硬化症	四肢動脈のアテローム性動脈硬化症
右恥骨上下枝の骨折	恥骨枝骨折
激しい胃痛	胃痛
長期にわたる経口摂取困難状況	経口摂取減少
瞼の腫れ感	眼瞼腫脹
子宮筋腫で単純子宮全摘出術を施行	筋腫核出術
灘治性逆流性食道炎	逆流性食道炎
急性虫垂炎（３３歳：手術）	急性虫垂炎
右ヒラメ筋静脈血栓	下肢静脈血栓
胸壁筋肉痛	局所筋肉痛
下肢にむくみ	下肢浮腫
右側腹部掻痒感	限局性そう痒
胃がん（術後）	胃癌
感冒（咳・鼻水・咽頭痛・くしゃみ）【鼻水】	鼻汁
左腕筋肉痛	局所筋肉痛
眼球運動障害	眼運動障害
頻拍型心房細動	頻回心室応答を伴う心房細動
ＨＤＬコレステロール上昇	ＨＤＬコレステロール増加
Ｓ５０．４、胆石にて手術	胆石摘出
左卵巣のう腫手術	卵巣嚢腫摘出術
死亡（腎細胞癌進行）	腎細胞癌
生理前のイライラ	易刺激性
肝機能数値上昇	肝機能検査異常
頚動脈プラーク形成	頚動脈アテローム
頸動脈アテローム硬化症	頚動脈硬化症
腎癌死	腎癌
全身倦たい感	全身倦怠
打撲（両膝）	膝の挫傷
脱水傾向	脱水
アルコール綿によるアレルギー	ラノリンアレルギー
大腸ＧＩＳＴ術後	消化管間質性腫瘍
骨盤内感染症	骨盤内感染
子宮外妊娠→右付属器切除	子宮外妊娠
ＭＲ【僧帽弁閉鎖不全症 】	僧帽弁閉鎖不全症
ＳＴ下降	ＳＴ低下
消化管間質腫瘍（腸間膜）	消化管間質性腫瘍
肝臓癌	肝癌
二次性心筋症	心筋症
脂肪肝疑い	脂肪肝
浮腫増悪の印象	浮腫増悪
重症難治性便秘症	便秘
左血膜下出血	結膜下出血
人工血管バイパス術	血管バイパス移植
化膿性根尖性歯周組織炎	根尖性歯周炎
頸部正中リンパ節転移	リンパ節転移
ＰＴ－ＩＮＲ過延長	ＩＮＲ増加
背部筋肉痛	局所筋肉痛
左中咽頭癌	中咽頭癌
肝キノー障害	肝機能障害
帯状疱疹（右脇腹）	帯状疱疹皮膚炎
グルコバイ錠１００ｍｇによる腹部膨満感のため	腹部膨満感
２００２．２．２８肝細胞癌手術	肝細胞癌
多発性のう胞腎	多発性嚢胞腎
悪性リンパ腫（Ｓ６３年ＣＲ）	悪性リンパ腫
ＨＤＬ低下	ＨＤＬ減少
低血糖様症状	低血糖反応
顕微鏡的多発動脈炎	結節性多発動脈炎
陰茎持続勃起	持続勃起症
むくみ（下肢）	下肢浮腫
ＭＶＲ後	無し
遅発性ステント血栓症	ステント血栓症
遠隔転移巣（縦隔腫瘍）	縦隔転移
肝機能障害、黄疸	無し
合併症、腎性貧血の悪化	腎性貧血
敗血症性ショックの悪化	敗血症性ショック
BRVO	網膜静脈分枝閉塞
両耳垢塞栓	耳垢栓塞
後頸部皮疹	頚部皮疹
不整脈（ＰＶＣ）	発作性心室性頻脈
ピロリ菌感染	ヘリコバクター・ピロリ感染
右腎動静脈奇形	腎動静脈奇形
前立線肥大に伴う排尿困難症	無し
可溶性IL-2R高値	インターロイキン２受容体増加
副腎不全（両側摘出によるステロイド内服中）	副腎機能不全
消化管間質性腫瘍（小腸）	消化管間質性腫瘍
皮膚？痒感（両腕）	四肢そう痒感
ｉｎｔａｃｔＰＴＨ【intact PTHの上昇】	ＰＴＨ増加
歯牙の着色	歯牙着色
ＡＬＢアルブミン低下	アルブミン減少
骨盤内播種	骨盤転移
左下顎う蝕症	齲歯
左半身マヒ	左側麻痺
肝硬変による高アンモニア血症	無し
毛細血管透過性の亢進	毛細血管透過性増加
両マイボーム腺炎	マイボーム腺炎
血性尿	血尿
シャント腫脹【静脈穿刺部腫脹】	静脈穿刺部位腫脹
足の掻痒感	下肢そう痒
左第３足指血腫【皮下】	皮下血腫
手爪白癬	爪白癬
急性呼吸不全、肺炎	無し
ＤＶＴ（大腿静脈）	大腿深部静脈血栓症
他、医療機関にて死亡	無し
網膜芽腫	網膜芽細胞腫
関節痛(右膝)	膝関節痛
２００３十二指腸潰瘍	十二指腸潰瘍
子宮内胎児死亡ＮＯＳ	子宮内胎児死亡
膣炎（萎縮性）	萎縮性腟炎
胃腸障害予防	予防
ＬＤＬ‐Ｃの上昇	ＬＤＬコレステロール増加
胃部不快感出現	胃不快感
右手根管症候群	片側性手根管症候群
点滴刺部発赤	滴下投与部位発赤
鉄欠乏性貧血の進行	鉄欠乏性貧血
腎硬化症（軽度）	腎硬化症
下肢湿疹	湿疹
右鼻出血	鼻出血
脳梗塞（左橋）	橋梗塞
突発性細菌性腹膜炎	細菌性腹膜炎
右前腕静脈高血圧	静脈圧上昇
膵嚢胞性腫瘤性病変	膵嚢胞
足壊疽	末梢性壊疽
第７胸椎転移	脊椎転移
②糖尿病（２型）	２型糖尿病
心原性塞栓疑い（明らかなＡｆなし）	心原性脳塞栓症
左頚部腫瘤	頚部腫瘤
右急性腎盂腎炎	急性腎盂腎炎
右中葉無気肺	無気肺
５７歳胆石症	胆石症
左足のむくみ	足部浮腫
慢性閉塞性動脈硬化症	閉塞性動脈硬化症
手足の皮疹	四肢皮疹
右下腿結節性紅斑	結節性紅斑
両涙液分泌不全	涙液分泌低下
死亡（突然死）【詳細不明】	突然死ＮＯＳ
クラミジア性骨盤腹膜炎２０１０２月発症２０１０２月治癒	細菌性腹膜炎
虚血性脳血管障害	脳血管虚血
左足底角質増殖症	足底角化症
繰り返す痔出血	痔出血
両肩関節周囲炎	肩関節周囲炎
膵臓ガン	膵癌
回腸バイパス術	回腸空腸バイパス
下肢動脈バイパス	動脈バイパス手術
離人現象	離人症
軽い胃炎	胃炎
存続卵胞	無し
根治切除不能又は転移性の腎細胞癌（IV期）	腎細胞癌第４期
大腿上肢チクチク感	下肢錯感覚
薬剤Ａの効果延長	薬効延長
右頬擦過傷	皮膚擦過傷
湿疹（左目尻）	顔面湿疹
朝鼻出血	鼻出血
髪が硬くなった	毛質異常
四肢末端のしびれ	四肢のしびれ感
Ａ型インフルエンザ【感染】	Ａ型インフルエンザウイルス感染
ｃａｓｔｌｅｍａｎｌｙｍｐｈｏｍａ	キャッスルマン病
食道粘膜下血腫	食道出血
高ＮＨ３	アンモニア増加
大動脈瘤手術	大動脈瘤修復
四肢・血管・その他:関節リウマチ	関節リウマチ
ＰＥＩＴ	経皮的エタノール注入療法
頭皮・湿疹	湿疹
子宮腺筋症の増悪	子宮腺筋症
高脂肪血症	高脂血症
左外耳炎	左側外耳炎
２４歳帝王切開	帝王切開
不肢つり	筋痙攣
被験者は心疾患をもって生まれた	先天性心疾患ＮＯＳ
腎癌手術	腎癌
アキレス腱手術	アキレス腱修復
頭部フラツキ	頭部ふらつき感
感冒の悪化	感冒
右下腹部腹壁皮下に血腫	皮下血腫
ＢＤＧ手術	体循環肺動脈シャント
血行障害	循環系の障害
切除不能肝細胞がん	切除不能な肝細胞癌
左膝蓋腱炎	膝蓋腱炎
抗リン脂質症候群	抗リン脂質抗体症候群
噛み砕かずに服用	薬剤の不適切な噛み砕き
癌の進行死	癌
手足の筋肉痛	筋肉痛
膝の違和感	関節部不快感
肘部管狭窄症術後	肘部管症候群
右手の筋力低下	上肢筋力低下
外傷による皮下出血	皮下出血
部分失明	部分的視力喪失
嘔吐下痢症【嘔吐】	嘔吐
紅班	紅斑
高Ｋ血症（Ｋ５．７ｍＥｑ/ｌ, Ｋ４．９ｍＥｑ/ｌ）	高カリウム血症
右眼瞼皮膚炎	眼瞼皮膚炎
糖尿病性神経障害	糖尿病性ニューロパチー
赤血球の変動	赤血球数異常
十二指腸カルチノイド	十二指腸のカルチノイド腫瘍
２次性副甲状腺機能亢進症（ｉｎｔａｃｔＰＴＨ上昇）【２次性副甲状腺機能亢進症】	続発性副甲状腺機能亢進症
全身の落屑	落屑
腸管内ガス貯瘤による腹部膨満感	ガス性腹部膨満
両手掌皮膚剥離	手掌剥脱
Ｓ３７年、下肢骨折、手術、輸血	下肢骨折
足がちくちく	足錯感覚
喉に詰まったような感じ	喉のつまり感
ざ瘡疹	ざ瘡
右第３趾爪下結節	小結節
穿刺部痛	穿刺部位疼痛
２７才乳腺維症乳腺線維腫ｏｐｅ	無し
高尿酸血症治療	高尿酸血症
前治療の手足症候群予防	薬物中毒予防
装着時の痛み	処置による疼痛
十二指腸癌術後	十二指腸癌
肺結核症２４才時に手術	肺結核
足爪白癬の悪化	爪白癬
黄斑浮腫（左眼）	黄斑浮腫
リハビリ	リハビリテーション療法
４１才めまい、入院検査のみ	めまい感
下肢バイパス血栓症予防	血栓症予防
胃ＧＩＳＴ（消化管間質腫瘍）	消化管間質性腫瘍
消火器症状	胃腸症状ＮＯＳ
一時的な構音障害	構音障害
予期せぬ他院入院【詳細不明】	入院ＮＯＳ
左殿部褥瘡	褥瘡
頭蓋内出血（視床出血）	視床出血
第７歯冠脱離	歯科補てつ物破損
眠い	眠気
高度進行肝細胞癌（ＩＶｂ期）	肝細胞癌
手足の皮膚反応（抗癌試験）	手足皮膚反応
大腸ポリープ（Ｓ状結腸）	Ｓ状結腸ポリープ
ＩＤＤＭ	インスリン依存性糖尿病
疼痛（鼠径部）	鼡径部痛
顔面ほてり	顔面のほてり
足の湿疹	湿疹
甘えびアレルギー	魚介類アレルギー
腰と足の痛み	無し
右手指火傷	手部の部位不明の熱傷、程度不明
肝機能障害の増悪	肝機能障害
低カリウム血症の改善	低カリウム血症
胃のもたつき	胃もたれ感
高血圧症の増悪	高血圧増悪
Ｄ－ｄｉｍｅｒ上昇	フィブリンＤダイマー増加
弁膜症（ＭＲ）【僧帽弁閉鎖不全症】	僧帽弁閉鎖不全症
膣出血	腟出血
繊維腺腫	線維腺腫
舌の発赤	舌発赤
切除不能の肝細胞癌	切除不能な肝細胞癌
GLAUCOMA	緑内障
りんごアレルギー	果物アレルギー
良性頭位性めまい	頭位性回転性めまい
頭部脂漏性湿疹	頭部脂漏性皮膚炎
上行結腸憩室	結腸憩室
左膝外傷	膝損傷
左膝の違和感	関節部不快感
Ｆｅの低下	鉄減少
眼湿疹	湿疹
脳ラクナ梗塞	ラクナ梗塞
ルルとの薬物相互作用	薬物相互作用
子宮頚癌	子宮頚部癌
消化異常	消化異常症状
アルコール生肝障害	アルコール性肝障害
肝嚢胞疑	肝嚢胞
ｉ－ＰＴＨの上昇	ＰＴＨ増加
左膝部切創	下肢創傷
FD【機能性胃腸障害】	機能性胃腸障害
右乳房線維腺腫	乳腺線維腺腫
心房細動からの右中大脳動脈塞栓症	中大脳動脈塞栓症
左下腿壊死	四肢壊死
腸管気腫性のう胞症	腸壁嚢状気腫症
痛風症状	痛風
頻回尿路感染症	尿路感染
肺胞出血疑い	肺胞出血
右視床出血	視床出血
プランマー病	プラマー病
左右白内障手術２００８．０５	白内障手術
脳症増悪	脳症
頻回発熱	発熱
膵酵素上昇（アミラーゼリパーゼ）	無し
網膜脈絡萎縮	網脈絡膜萎縮
結核性リンパ炎	結核性リンパ節炎
椎間板ヘルニアの悪化	椎間板ヘルニア
外陰湿疹の悪化	外陰部湿疹
ソケイ部痛	鼡径部痛
頭部白癬悪化	頭部白癬
抗菌	感染予防
両側肺底部板状無気肺	肺底部無気肺
胸椎椎体前面の軟部腫瘍	軟部組織新生物
１９９８年２月ＣＡＢＧ＋僧帽弁形成術	無し
左前腕内シャントＰＴＡ	経皮的血管形成
ＡＣバイパス術後ワイヤー感染	術後感染
乳腺腫瘤術後	乳房腫瘤切除
肝細胞癌（ＨＣＣ）Stage ＩＶｂ	肝細胞癌
ペースメーカー創部出血	医療機器使用部位出血
ＩＶＣ閉鎖術後（indwelling venous catheter：静脈留置カテーテル）	カテーテル除去
ＡＳＴの一過性上昇	ＡＳＴ増加
右第５趾間の白癬	足部白癬
右そけい部皮膚炎	皮膚炎
ベーカー嚢胞	ベーカー嚢腫
便秘の悪化	便秘増悪
（臀部）落屑	局所性表皮剥脱
子宮筋腫－切除	筋腫核出術
代用血管術后	人工血管移植
症候性てんかんの再発	症候性てんかん
肺高血圧急性増悪	肺高血圧症増悪
９才で右足首血管腫	皮膚血管腫
高血圧病	高血圧
腎移植２回	腎移植
ケラトアカントーマ（顔面）	ケラトアカントーマ
発疹（顔面、上腹部）	発疹
夜間こむらがえり症	こむら返り
ドライアイ（左眼）	眼乾燥
顔面にバラ疹	ばら疹
肝機能障害（悪化）	肝機能障害
総コレステロール値上昇	総コレステロール増加
原疾患進行による癌死【肝細胞癌】	肝細胞癌
低ヘモグロビン血症	ヘモグロビン低値
皮膚反応（両手指，落屑，疼痛，水疱）	無し
精神運動興奮状態	精神運動興奮
成長期脱毛	脱毛症
アダムスストークス症候群	アダムス・ストークス症候群
腎細胞癌（Ｈ２０．１０．１０腹腔鏡下左腎切除術）	腎細胞癌
Ｂ型肝硬変	肝硬変
食道迷走神経障害	迷走神経障害
糖尿病性末梢神経障害	糖尿病性末梢性ニューロパチー
手のシビレ	手のしびれ感
血清ＣＲＰ値上昇	ＣＲＰ増加
二次性副甲状腺機能亢進症の増悪	続発性副甲状腺機能亢進症
網膜中心動脈分枝閉塞症	網膜静脈閉塞
スニチニブによる高血圧症	高血圧
臀部皮膚膿瘍	皮膚膿瘍
眼窩内転移	眼転移
左腎腫瘍	腎新生物
左第一関節骨折（２４才時）	骨折
少量の出血【性器】	性器出血
間欠的嘔気	嘔気
左２趾骨折	趾骨折
両細菌性角膜炎	細菌性角膜炎
逆流性食道炎の発症	逆流性食道炎
性欲低下	性欲減退
左卵巣ｆｕｎｃｔｉｏｎａｌｃｙｓｔ疑	機能性卵巣嚢胞
乳漏症	乳汁漏出症
発疹（頭部、胸部）	発疹
出口部感染	カテーテル留置部位感染
椎骨動脈狭窄症	椎骨動脈狭窄
虫垂炎で切除	虫垂炎
Ｈ１７．１月左腎Ｃａ術後（癌）	胃癌
腰動脈からの出血	動脈出血
眉毛の脱毛	眉毛脱落
右背部感染性皮膚潰瘍	感染性皮膚潰瘍
気胸２００８．８．２発病	気胸
カルタレチンによる便秘	便秘
肝機能障害（ＧＰＴ上昇）	無し
右乾性角結膜炎	乾性角結膜炎
頻脈性不整脈（心室性）	心室性頻脈性不整脈
足背皮下血腫	皮下血腫
舌がまわらない	ろれつ不良
網膜静脈閉塞症（左眼）	網膜静脈閉塞
胎便関連性腸閉塞症	胎便イレウス
心のう水	心嚢液貯留
早期胃癌（ＥＭＲ後）	胃癌
胃瘻造設後低ナトリウム血症	低ナトリウム血症
十二指腸腺腫ＥＭＲ后	腸管腺腫
原発性肺癌	肺癌
ＰＴＣＡ后	経皮的冠動脈形成
かゆい	そう痒
ＨＤＬ－ＣＨＯ低下	ＨＤＬコレステロール減少
非弁膜症性心房細動（アブレーション後）	心房細動
注射部位のそう痒性赤色皮疹	注射部位発疹
PBC	無し
多のう胞卵巣症候群	多嚢胞性卵巣症候群
脳梗塞後遺症によるめまい	無し
全身のこわばり	こわばり感
大腸癌（Ｈ１０、手術）	大腸癌
神経障害感覚性	感覚ニューロパチー
・糖尿病	糖尿病
カタル性中耳炎	中耳カタル
全身アレルギー性皮膚炎	アレルギー性皮膚炎
ＡＬＴの一過性上昇	ＡＬＴ増加
性器出血（子宮内膜細胞採取のため）	処置による出血
そうよう感	そう痒
腹部手術瘢痕	腹部手術
ミオクローヌス（下肢）	ミオクローヌス
頭部打撲	頭部挫傷
急性上気道感染症	急性上気道感染
逆流性食道炎ネキシウム内服	逆流性食道炎
下肢リンパ浮腫	リンパ浮腫
手足【手足症候群】	手足症候群
血清ＡＳＴ値上昇	ＡＳＴ増加
手指，足指の痛み	四肢痛
卵巣奇形腫	卵巣胚細胞奇形腫
大動脈弁狭塞症	大動脈弁狭窄
甲状腺数値上昇	甲状腺機能検査異常
１０才肺結核	肺結核
足底疼痛	足部痛
脊柱管内に血腫	脊髄血腫
適用部位発赤が水疱と潰瘍に進行	適用部位潰瘍
アラニン・アミノトランスフェラーゼ増加	アラニンアミノトランスフェラーゼ増加
顔面神経痛	顔面部神経痛
通常型間質性肺炎	間質性肺炎
異所性子宮内膜症	子宮内膜症
尿路感染疑い	尿路感染
子宮卵巣切除	卵巣子宮摘出
顔面の落屑を伴う皮疹	落屑性皮疹
胃潰瘍で胃切除	胃潰瘍外科手術
ペースメーカー挿入	心臓ペースメーカー挿入
単純性網膜症	単純網膜症
骨粗しょう症	骨粗鬆症
トリプシ上昇	血中トリプシン増加
左腎孟癌腎尿管全摘術（２００４年）	腎盂の悪性新生物
左脛骨高原骨折	脛骨骨折
大腸の手術	大腸手術
皮膚炎の悪化	皮膚炎ＮＯＳ増悪
眼瞼皮ふ炎	眼瞼皮膚炎
甲状腺左葉，右葉部分切除	甲状腺葉切除術
CRP値上昇	ＣＲＰ増加
尿濃縮	尿異常
総頚動脈狭窄症（ｏｐｅ）	頚動脈狭窄
ＭｅｔａｍｅｒｉｃＳｙｎｄｒｏｍｅ（脊椎のＤｕｒａｌＡＶＦ）	硬膜動静脈瘻
椎間板ヘルニア（腰痛症）	無し
右前腕上腕内出血	無し
右胸骨痛	胸骨痛
冠動脈バイパス術後	冠動脈バイパス
鬱症状	抑うつ症状
月経前後のイライラ	易刺激性
上喉頭神経痛	神経痛
ＣＮＶ（左眼）	脈絡膜血管新生
後天性斜視	斜視
肝門部胆管狭窄	胆管狭窄
擦過傷（顔面、上下肢）	皮膚擦過傷
口腔打撲傷	口腔挫傷
骨訴訟症	骨粗鬆症
左大腿骨頭壊死	大腿骨頭虚血性壊死
感冒（微熱、鼻汁、咽頭痛）	無し
右卵巣機能性のう胞	機能性卵巣嚢胞
逆さ睫毛	睫毛乱生
皮疹（両腕）	腕の皮疹
左上肢圧痛	上肢痛
右足第１趾化膿	足指感染
Ｄ－ＢＩＬ上昇	直接ビリルビン増加
リン低下	血中リン減少
食指不振	食欲不振
逆流性食道炎の疑い	逆流性食道炎
僧房弁、三尖弁閉鎖不全症	無し
左下腹部腫瘤、腹壁ヘルニア疑い【左下腹部腫瘤】	腹部腫瘤
蛋白尿（±）	蛋白尿
喉頭蓋のう胞	喉頭蓋嚢胞
Ａ群Β溶血性レンサ球菌陽性	Ａ群β溶血性レンサ球菌陽性
大腸ポリープ内視鏡的切除	大腸ポリープ切除
ＡＭＹ増加	アミラーゼ増加
骨盤-その他-精巣癌	精巣癌
ミレーナ移動	ＩＵＤ移動
右大腿ヘルニア手術	大腿ヘルニア修復
ＤＵ（十二指腸潰瘍）	十二指腸潰瘍
消化器:大腸癌、手術後、局所再発	再発結腸癌
風邪	感冒
乳房内嚢胞（両側）	乳房嚢胞
穿刺部疼痛	穿刺部位疼痛
ペースメーカ埋没	心臓ペースメーカー挿入
左膝筋肉内出血	筋肉内出血
血液１１凝固因子欠乏	凝固第ＸＩ因子量減少
乳首の痛み	乳頭痛
左耳出血	耳出血
虫咬症	虫刺傷
肋骨転移	骨転移
慢性糸球体腎炎（疑）	慢性糸球体腎炎
